# HTML content-model facts: a machine-readable projection of the WHATWG HTML
# Living Standard, the single source the vize HTML conformance checker reads
# (`vize_patina::html_content_model`). Every row names the spec clause it
# projects; the checker's verdicts over it are pinned against an independent
# HTML parser (`legacy-tools/davinci/html-content-model-oracle.mjs`).
#
# snapshot	https://html.spec.whatwg.org/multipage/	Last Updated 21 September 2026
#
# Row format (tab separated):
#   kind	name	spec-anchor	members (space separated)
# kind:
#   set       an element set named by the tree-construction algorithm (§13.2)
#   category  a content category (§3.2.5.2, index "List of element content categories")
#   children  an element's content model (index "List of elements", Children column)
# member syntax:
#   tag            an HTML-namespace element, ASCII lowercase
#   svg:tag        an SVG-namespace element (case-adjusted per §13.2.6.5)
#   math:tag       a MathML-namespace element
#   tag?cond       conditional membership; cond is an attribute predicate the
#                  checker evaluates three-valued (dynamic bindings are unknown)
#   @category      every member of that category row
#   #text          text that is not inter-element whitespace
#
# Anchors are fragments of https://html.spec.whatwg.org/multipage/<anchor>.
# Every row is referenced by name from the checker; the checker's loader
# rejects unknown kinds, unknown names, duplicate rows and missing rows.

set	special	parsing.html#special	address applet area article aside base basefont bgsound blockquote body br button caption center col colgroup dd details dir div dl dt embed fieldset figcaption figure footer form frame frameset h1 h2 h3 h4 h5 h6 head header hgroup hr html iframe img input keygen li link listing main marquee menu meta nav noembed noframes noscript object ol p param plaintext pre script search section select source style summary table tbody td template textarea tfoot th thead title tr track ul wbr xmp math:mi math:mo math:mn math:ms math:mtext math:annotation-xml svg:foreignObject svg:desc svg:title
set	scope	parsing.html#has-an-element-in-scope	applet caption html table td th marquee object select template math:mi math:mo math:mn math:ms math:mtext math:annotation-xml svg:foreignObject svg:desc svg:title
set	button-scope	parsing.html#has-an-element-in-button-scope	applet caption html table td th marquee object select template math:mi math:mo math:mn math:ms math:mtext math:annotation-xml svg:foreignObject svg:desc svg:title button
set	marker	parsing.html#concept-parser-marker	applet marquee object template td th caption
set	implied-end	parsing.html#generate-implied-end-tags	dd dt li optgroup option p rb rp rt rtc
set	closes-p	parsing.html#parsing-main-inbody	address article aside blockquote center details dialog dir div dl fieldset figcaption figure footer header hgroup main menu nav ol p search section summary ul h1 h2 h3 h4 h5 h6 pre listing form li dd dt plaintext table hr xmp
set	heading	parsing.html#parsing-main-inbody	h1 h2 h3 h4 h5 h6
set	list-item-loop-transparent	parsing.html#parsing-main-inbody	address div p
set	table-part	parsing.html#parsing-main-inbody	caption col colgroup tbody td tfoot th thead tr
set	document-part	parsing.html#parsing-main-inbody	html head body frameset frame
