consumer_id	consumer	class	file	first_line	surface_id	surface	surface_group	matched_name	name_kind	sites
formatter	Formatter	manifest	crates/vize_glyph/Cargo.toml	13	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	manifest	crates/vize_glyph/Cargo.toml	13	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
formatter	Formatter	manifest	crates/vize_glyph/Cargo.toml	13	raw_oxc	raw OXC	raw	oxc_ast	raw	1
formatter	Formatter	manifest	crates/vize_glyph/Cargo.toml	13	raw_oxc	raw OXC	raw	oxc_formatter	raw	1
formatter	Formatter	manifest	crates/vize_glyph/Cargo.toml	13	raw_oxc	raw OXC	raw	oxc_formatter_core	raw	1
formatter	Formatter	manifest	crates/vize_glyph/Cargo.toml	13	raw_oxc	raw OXC	raw	oxc_parser	raw	1
formatter	Formatter	source	crates/vize_glyph/src/error.rs	4	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/formatter.rs	18	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	test/dev	crates/vize_glyph/src/formatter/block_indent.rs	47	l0	L0	stage	vize_l0	preferred	2
formatter	Formatter	source	crates/vize_glyph/src/formatter/script_block.rs	3	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/formatter/style_block.rs	3	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/json.rs	22	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/json/ast.rs	4	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/json/number.rs	5	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/json/parser.rs	6	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/json/printer.rs	4	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/lib.rs	62	l0	L0	stage	vize_l0	preferred	2
formatter	Formatter	source	crates/vize_glyph/src/options.rs	6	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/options.rs	6	raw_oxc	raw OXC	raw	oxc_formatter	raw	3
formatter	Formatter	source	crates/vize_glyph/src/options.rs	6	raw_oxc	raw OXC	raw	oxc_formatter_core	raw	1
formatter	Formatter	source	crates/vize_glyph/src/script.rs	10	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/script.rs	10	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
formatter	Formatter	source	crates/vize_glyph/src/script.rs	10	raw_oxc	raw OXC	raw	oxc_formatter	raw	1
formatter	Formatter	test/dev	crates/vize_glyph/src/script.rs	56	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	test/dev	crates/vize_glyph/src/script.rs	56	raw_oxc	raw OXC	raw	oxc_allocator	raw	7
formatter	Formatter	source	crates/vize_glyph/src/script/block_identity.rs	4	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/script/block_identity.rs	4	raw_oxc	raw OXC	raw	oxc_allocator	raw	1
formatter	Formatter	source	crates/vize_glyph/src/script/block_identity.rs	4	raw_oxc	raw OXC	raw	oxc_ast	raw	1
formatter	Formatter	source	crates/vize_glyph/src/script/block_identity.rs	4	raw_oxc	raw OXC	raw	oxc_formatter	raw	1
formatter	Formatter	source	crates/vize_glyph/src/style.rs	15	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/style/color.rs	4	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/style/number.rs	6	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/style/stabilization.rs	9	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	test/dev	crates/vize_glyph/src/style/stabilization.rs	240	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	test/dev	crates/vize_glyph/src/template.rs	28	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/template/attributes.rs	5	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/template/directives.rs	7	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/template/formatter.rs	9	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/template/formatter/interpolation.rs	10	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/template/formatter/text.rs	10	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	source	crates/vize_glyph/src/template/helpers.rs	6	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	test/dev	crates/vize_glyph/src/template/tests.rs	6	l0	L0	stage	vize_l0	preferred	1
formatter	Formatter	test/dev	crates/vize_glyph/tests/sfc_block_attributes.rs	6	l0	L0	stage	vize_l0	preferred	1
